id,group_id,sender_id,content,message_type,reply_to,created_at,updated_at,note_id
b87f38e1-ae7b-423f-ab97-4193553f331b,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,"You suppose fit update am for your dasboard sha
But e be like e no even dey work again?",text,18fc01f0-b410-4b63-9484-1f92e681efc6,2025-09-30 23:40:37.899233+00,,
b8d71d88-1ba5-4094-9b00-34c05987d351,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ec45ed0d-4b29-4fab-aced-8ea48094ef01,the whole time i was on ig,text,bd63f0b8-2c94-46cb-bca3-2a5c61ba728b,2025-10-28 19:46:25.327452+00,,
ba4f3bed-47ee-41bb-8a9c-354d95980a47,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,"Ati achieving person shop, gbewa 😹😹😹",text,c974b962-0d02-425a-b780-cf13be6670a5,2025-09-30 23:42:51.317979+00,,
bab214b5-c57e-4ad7-ac3d-fc93396e1421,6596d81b-9204-48bf-a77c-a5ebdc559ad4,ec45ed0d-4b29-4fab-aced-8ea48094ef01,howdy,text,,2025-09-30 23:31:28.156291+00,,
bc42dc84-c2de-43c9-83f0-9c2104fbd139,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,lets take the whole way along the fact that,text,,2025-09-30 22:34:58.363688+00,,
bd63f0b8-2c94-46cb-bca3-2a5c61ba728b,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,hey there,text,,2025-10-28 19:43:56.175128+00,,
be2d446c-e9ec-48d8-8601-cf88c44a8a18,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,"E choke 
Which project you dey work on like this?",text,7cf1a3b0-2b36-4d22-8488-577c50597dd7,2025-09-30 23:39:34.399384+00,,
c1092bf4-2f22-47bc-8485-73cb5c76e746,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ec45ed0d-4b29-4fab-aced-8ea48094ef01,what do you think about this,text,,2025-09-30 22:35:23.476173+00,,
c208c674-d207-41fd-93f8-33a8646b59b7,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ec45ed0d-4b29-4fab-aced-8ea48094ef01,hope you've been good,text,bd63f0b8-2c94-46cb-bca3-2a5c61ba728b,2025-10-28 19:47:30.110497+00,,
c712ef17-a158-4b93-a360-fc218c8afb72,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,nice one,text,73a90629-60e8-45c3-8419-6199ba5a96ca,2025-10-28 19:35:04.871787+00,,
c7cad44d-e4f8-4f36-afb8-86557ae288db,9efff110-a766-472d-91e4-4df704adebe8,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Nice one bro,text,d6f52334-83f7-4313-9d9b-b0c54b5bf79b,2025-10-29 20:30:33.295423+00,,
c974b962-0d02-425a-b780-cf13be6670a5,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,"Omo. Na to go find fhg guy wey go dey give me work o. Ati shopify ati shoplifting, gbewa",text,3efae4f2-c838-4fd3-b5b7-cfee2beee57e,2025-09-30 23:42:01.573865+00,2025-09-30 23:42:20.303+00,
cef93d49-a572-49e6-bcea-21b6a812a4c2,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,how is it in your side,text,,2025-09-29 01:00:02.872054+00,,
